,0,Gene ID
ENSG00000234734,0.000339717,
ENSG00000173914,0.000338832,
ENSG00000101161,0.000338789,
ENSG00000141401,0.000338298,
ENSG00000163915,0.000337943,
ENSG00000260045,0.000337792,
ENSG00000163528,0.000337565,
ENSG00000233904,0.000336601,
ENSG00000228008,0.000336575,
ENSG00000011600,0.000336529,
ENSG00000005981,0.000336517,
ENSG00000160948,0.000336197,
ENSG00000122550,0.000336172,
ENSG00000099995,0.000336172,
ENSG00000267740,0.000335622,
ENSG00000198142,0.00033475,
ENSG00000126768,0.000334653,
ENSG00000182518,0.000334352,
ENSG00000183431,0.000333996,
ENSG00000070601,0.000333924,
ENSG00000180535,0.000333713,
ENSG00000145386,0.000333604,
ENSG00000180357,0.000333303,
ENSG00000206240,0.000333017,
ENSG00000183978,0.000332877,
ENSG00000152932,0.000331646,
ENSG00000156050,0.000331516,
ENSG00000243323,0.000329596,
ENSG00000229929,0.000328697,
ENSG00000169946,0.000328668,
ENSG00000185090,0.000328656,
ENSG00000244556,0.000328214,
ENSG00000237223,0.000328,
ENSG00000182508,0.000327237,
ENSG00000217325,0.000326731,
ENSG00000151322,0.000326336,
ENSG00000224370,0.000326043,
ENSG00000099330,0.000325489,
ENSG00000221988,0.000323414,
ENSG00000197223,0.000323286,
ENSG00000259784,0.000321001,
ENSG00000186787,0.000320517,
ENSG00000160194,0.000320234,
ENSG00000130182,0.000319607,
ENSG00000139547,0.000319524,
ENSG00000124232,0.000319284,
ENSG00000133106,0.00031906,
ENSG00000234846,0.000318878,
ENSG00000164089,0.000318653,
ENSG00000206493,0.000317757,
ENSG00000126353,0.000317593,
ENSG00000240021,0.000317394,
ENSG00000197415,0.000317072,
ENSG00000165566,0.00031699,
ENSG00000256594,0.00031692,
ENSG00000163689,0.000316868,
ENSG00000226492,0.000316581,
ENSG00000270879,0.0003165,
ENSG00000155368,0.000316295,
ENSG00000262170,0.000316252,
ENSG00000164440,0.00031476,
ENSG00000157657,0.000314451,
ENSG00000111775,0.000314409,
ENSG00000198650,0.000313822,
ENSG00000065518,0.000313755,
ENSG00000145888,0.000313484,
ENSG00000130487,0.000312428,
ENSG00000185269,0.000312219,
ENSG00000262234,0.000312068,
ENSG00000218537,0.000312035,
ENSG00000169019,0.000311643,
ENSG00000175193,0.000311636,
ENSG00000224994,0.000311636,
ENSG00000181355,0.0003114,
ENSG00000152348,0.000311214,
ENSG00000134460,0.000311207,
ENSG00000197927,0.000311207,
ENSG00000171303,0.000311203,
ENSG00000178741,0.000311203,
ENSG00000167554,0.000311203,
ENSG00000112773,0.000311051,
ENSG00000262744,0.000310778,
ENSG00000111339,0.000310778,
ENSG00000108506,0.000310775,
ENSG00000186010,0.000310775,
ENSG00000265681,0.000310775,
ENSG00000120686,0.000310472,
ENSG00000204869,0.000310346,
ENSG00000198794,0.000310346,
ENSG00000141698,0.000310346,
ENSG00000100350,0.000310346,
ENSG00000129993,0.000310346,
ENSG00000167920,0.000310346,
ENSG00000183971,0.000310346,
ENSG00000167863,0.000310346,
ENSG00000143498,0.000310346,
ENSG00000176731,0.000310322,
ENSG00000166823,0.000309917,
ENSG00000231234,0.000309917,
ENSG00000128340,0.000309892,
ENSG00000206450,0.000307476,
ENSG00000176340,0.00030722,
ENSG00000244672,0.000307167,
ENSG00000110906,0.000307089,
ENSG00000137571,0.000306036,
ENSG00000261832,0.00030569,
ENSG00000165650,0.00030551,
ENSG00000168569,0.000304574,
ENSG00000089356,0.000304421,
ENSG00000260818,0.000303796,
ENSG00000161533,0.000302919,
ENSG00000173585,0.000302689,
ENSG00000227184,0.000301777,
ENSG00000186462,0.000301352,
ENSG00000269079,0.000301335,
ENSG00000205281,0.000301101,
ENSG00000135047,0.000300795,
ENSG00000211751,0.000300274,
ENSG00000155761,0.000299993,
ENSG00000123415,0.000299578,
ENSG00000110066,0.000298178,
ENSG00000100897,0.000296391,
ENSG00000102981,0.000296086,
ENSG00000164161,0.000295053,
ENSG00000197128,0.000294388,
ENSG00000268579,0.000294384,
ENSG00000170537,0.000293867,
ENSG00000165283,0.000293149,
ENSG00000120333,0.000292976,
ENSG00000112304,0.000292739,
ENSG00000162267,0.000292232,
ENSG00000114988,0.000292076,
ENSG00000214435,0.000291541,
ENSG00000117395,0.000291112,
ENSG00000178033,0.000291105,
ENSG00000067646,0.000290912,
ENSG00000214110,0.00029056,
ENSG00000090266,0.000290241,
ENSG00000185924,0.000290131,
ENSG00000255757,0.000290051,
ENSG00000205464,0.000289869,
ENSG00000260486,0.000289638,
ENSG00000198331,0.000289604,
ENSG00000264524,0.000289604,
ENSG00000182580,0.000289604,
ENSG00000127884,0.000289604,
ENSG00000242866,0.000289471,
ENSG00000236765,0.00028947,
ENSG00000162738,0.000289209,
ENSG00000107738,0.000289176,
ENSG00000115590,0.000289176,
ENSG00000224979,0.000289176,
ENSG00000118655,0.000289084,
ENSG00000153132,0.000289014,
ENSG00000150394,0.000288851,
ENSG00000184076,0.000288835,
ENSG00000086200,0.000288835,
ENSG00000197498,0.000288777,
ENSG00000214357,0.000288693,
ENSG00000227507,0.000288506,
ENSG00000163453,0.000288348,
ENSG00000230457,0.000288348,
ENSG00000137726,0.000288282,
ENSG00000182319,0.000288276,
ENSG00000116120,0.000288155,
ENSG00000111057,0.000288151,
ENSG00000117091,0.000287766,
ENSG00000267305,0.000287519,
ENSG00000126243,0.000287408,
ENSG00000162620,0.000287389,
ENSG00000136848,0.000287389,
ENSG00000145494,0.00028737,
ENSG00000266639,0.000287281,
ENSG00000121680,0.000286979,
ENSG00000225141,0.000286976,
ENSG00000167332,0.000286961,
ENSG00000224373,0.000286961,
ENSG00000172456,0.000286551,
ENSG00000233765,0.000285931,
ENSG00000251537,0.000285792,
ENSG00000236397,0.000285648,
ENSG00000233450,0.000285468,
ENSG00000174807,0.000285363,
ENSG00000136819,0.000285273,
ENSG00000188981,0.000284924,
ENSG00000176720,0.000284924,
ENSG00000197565,0.000284855,
ENSG00000143222,0.000284841,
ENSG00000186889,0.000284841,
ENSG00000104907,0.000284841,
ENSG00000096968,0.000284818,
ENSG00000163746,0.000284818,
ENSG00000257223,0.000284715,
ENSG00000185721,0.000284647,
ENSG00000180777,0.00028452,
ENSG00000140859,0.000284412,
ENSG00000000003,0.000284412,
ENSG00000260508,0.000284175,
ENSG00000186468,0.000284175,
ENSG00000173040,0.000284091,
ENSG00000138614,0.000284091,
ENSG00000107485,0.000284091,
ENSG00000167136,0.000284067,
ENSG00000248496,0.000283044,
ENSG00000198954,0.000282373,
ENSG00000255419,0.000282011,
ENSG00000180098,0.000281805,
ENSG00000161911,0.000281655,
ENSG00000136158,0.000281579,
ENSG00000111181,0.000281168,
ENSG00000177301,0.000281059,
ENSG00000157551,0.000280839,
ENSG00000240857,0.000280781,
ENSG00000262713,0.000280282,
ENSG00000074410,0.000280265,
ENSG00000188010,0.00028014,
ENSG00000226437,0.000279862,
ENSG00000145626,0.000279854,
ENSG00000173218,0.000279533,
ENSG00000250733,0.000279435,
ENSG00000183878,0.000278953,
ENSG00000236029,0.000278767,
ENSG00000221866,0.000278589,
ENSG00000170296,0.000278001,
ENSG00000254852,0.000277722,
ENSG00000005102,0.000277675,
ENSG00000103642,0.00027671,
ENSG00000165609,0.000276343,
ENSG00000150457,0.000276197,
ENSG00000102038,0.000275713,
ENSG00000175857,0.000275482,
ENSG00000142583,0.000275482,
